,转债代码,转债名称,正股代码,正股名称,现价,涨跌幅,成交额,换手率,近5日涨跌幅,近20日涨跌幅,近3月涨跌幅,近1年涨跌幅,剩余规模（亿元）,转股价值,溢价率,正股价格,正股涨跌幅,正股成交额,正股波动率,双低指标,纯债价值,转债/正股流通市值比,自选标记,更新时间,上市日期,发行规模（亿元）,债券评级,到期日期,剩余年限,转股价,回售触发价,强赎触发价,距离转股开始天数,转股开始日期,下修条件,下修次数,下修成功次数,强赎标记,确定强赎日期,确定强赎价格,强赎天数统计
223,123082,北陆转债,1300016,北陆药业,113.725,0.11,40.24,0.07,-1.31,-2.71,-0.37,-2.93,4.993,76.34,48.97,6.68,0.15,284.84,38.6,162.7,87.16,18.3,0,09:49:57,2020-12-28,5.0,A+,26-12-06,4.266,8.75,6.13,11.38,0,2021-06-11,15/30  85%,1,1,,,,0/15 | 30
224,123083,朗新转债,1300682,朗新科技,193.327,-0.6,2430.56,2.3,-6.6,-14.06,7.7,41.11,5.483,174.46,10.81,26.64,-1.62,2046.34,55.66,204.14,99.35,2.0,0,09:50:03,2021-01-06,8.0,AA,26-12-09,4.274,15.27,10.69,19.85,0,2021-06-15,15/30  85%,0,0,G,,,0/15 | 30
225,123085,万顺转2,1300057,万顺新材,167.69,-0.48,4941.06,4.73,-8.62,-18.52,19.84,25.37,6.205,168.55,-0.51,10.45,-0.38,3219.02,56.36,167.18,88.88,11.7,0,09:50:03,2020-12-28,9.0,AA-,26-12-10,4.277,6.2,4.34,8.06,0,2021-06-17,15/30  80%,0,0,G,,,0/15 | 30
226,123087,明电转债,1300739,明阳电路,120.243,0.12,276.21,0.55,-3.88,-10.6,-0.5,-2.48,4.189,90.78,32.46,14.57,-0.21,739.15,42.24,152.7,95.08,9.9,0,09:50:03,2021-01-05,6.73,AA-,26-12-14,4.288,16.05,9.63,20.87,0,2021-06-21,15/30  85%,1,1,,,,0/15 | 30
227,123088,威唐转债,1300707,威唐工业,120.452,0.19,885.19,2.44,-6.59,-15.23,7.17,7.84,3.011,89.75,34.21,18.56,-1.69,1216.76,65.52,154.66,86.95,13.7,0,09:50:03,2021-01-06,3.012,A+,26-12-14,4.288,20.68,14.48,26.88,0,2021-06-21,15/30  85%,0,0,,,,1/15 | 30
228,123089,九洲转2,1300040,九洲集团,135.698,-0.25,1464.62,3.54,-8.47,-9.95,-2.38,-15.4,3.062,125.93,7.76,7.09,-0.42,1926.06,48.71,143.46,94.72,9.3,0,09:50:03,2021-01-08,5.0,AA-,26-12-20,4.304,5.63,3.94,7.32,0,2021-06-25,15/30  85%,0,0,G,,,0/15 | 30
229,123090,三诺转债,1300298,三诺生物,120.679,0.9,316.45,0.53,-1.69,-3.07,6.98,5.68,4.999,79.39,52.01,27.77,3.39,1595.26,52.99,172.69,100.88,3.9,0,09:49:57,2021-01-12,5.0,AA,26-12-20,4.304,34.98,24.49,45.47,0,2021-06-25,15/30  80%,0,0,,,,0/15 | 30
230,123091,长海转债,1300196,长海股份,128.098,-0.06,236.87,0.34,-1.71,-2.87,-5.57,-8.19,5.498,99.44,28.82,15.9,-0.31,1002.53,46.63,156.92,100.1,14.1,0,09:49:51,2021-01-15,5.5,AA,26-12-22,4.31,15.99,11.19,20.79,0,2021-06-29,15/30  85%,0,0,,,,0/15 | 30
231,123092,天壕转债,1300332,天壕环境,286.171,0.01,1273.08,1.08,-9.15,-4.45,62.51,87.65,4.142,249.03,14.91,12.8,0.71,2522.29,59.35,301.08,86.72,3.8,0,09:50:03,2021-01-15,4.23,A+,26-12-23,4.312,5.14,3.6,6.68,0,2021-06-30,15/30  85%,0,0,G,,,0/15 | 30
232,123093,金陵转债,1300651,金陵体育,119.442,0.14,175.62,0.59,-1.04,-5.19,-38.11,-1.53,2.485,47.34,152.31,23.24,0.35,167.98,57.55,271.75,91.96,14.1,0,09:49:33,2021-02-18,2.5,A+,27-01-18,4.384,49.09,34.36,63.82,0,2021-07-26,15/30  85%,0,0,,,,0/15 | 30
